Trial,kNN (no tuning),Random Forest (no tuning),kNN (n_neighbours=16),Random Forest (n_estimators=15)
1,0.639,0.836,0.672,0.869
2,0.607,0.803,0.738,0.77
3,0.754,0.869,0.672,0.738
4,0.738,0.885,0.721,0.852
5,0.705,0.902,0.672,0.803
6,0.656,0.902,0.623,0.836
7,0.639,0.787,0.721,0.869
8,0.689,0.82,0.738,0.82
9,0.656,0.836,0.705,0.836
10,0.623,0.82,0.754,0.82
Mean value,0.6706,0.846,0.7016,0.8213
,,,,
tunings for algorithms that produce the best results are kept,,,,
,,,,
default value of test_size is 0.2 (when untuned),,,,
